Family_Size,Segmentation,Age_zscore,Gender_Female,Gender_Male,Graduated_No,Graduated_Yes,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Work_Experience_scaled,Spending_Score_Encoded,Var_1_Cat_1,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7,Ever_Married_No,Ever_Married_Yes
0.375,D,-1.284543824101908,False,True,True,False,False,False,False,False,False,True,False,False,False,0.07142857142857142,0,False,False,False,True,False,False,False,True,False
0.25,A,-0.32713054331627844,True,False,False,True,False,False,True,False,False,False,False,False,False,0.07142857142857142,1,False,False,False,True,False,False,False,False,True
0.0,B,1.408181028107675,True,False,False,True,False,False,True,False,False,False,False,False,False,0.07142857142857142,0,False,False,False,False,False,True,False,False,True
0.125,B,1.408181028107675,False,True,False,True,False,False,False,False,False,False,False,True,False,0.0,2,False,False,False,False,False,True,False,False,True
0.625,A,-0.20745388321807476,True,False,False,True,False,False,False,True,False,False,False,False,False,0.07142857142857142,2,False,False,False,False,False,True,False,False,True
0.125,C,0.7499593975675547,False,True,True,False,True,False,False,False,False,False,False,False,False,0.0,1,False,False,False,False,False,True,False,False,True
0.25,C,-0.6861605236108895,False,True,False,True,False,False,False,False,False,True,False,False,False,0.07142857142857142,0,False,False,False,False,False,True,False,True,False
0.25,D,-0.6263221935617876,True,False,False,True,False,False,False,False,False,True,False,False,False,0.07142857142857142,0,False,False,False,False,False,True,False,True,False
0.25,D,1.049151047813064,True,False,False,True,False,False,True,False,False,False,False,False,False,0.0,0,False,False,False,False,False,False,True,False,True
0.375,C,0.6901210675184529,True,False,False,True,True,False,False,False,False,False,False,False,False,0.07142857142857142,1,False,False,False,False,False,True,False,False,True
0.25,A,-1.0451905039055005,True,False,False,True,False,False,True,False,False,False,False,False,False,0.07142857142857142,0,False,False,False,False,False,True,False,True,False
